Total Gangnam-gu: 78
Category counts in Gangnam-gu:
  - 의원: 70
  - 보건소: 1
  - 기초정신건강복지센터: 1
  - 공립: 1
  - 상급종합병원: 2
  - 병원: 1
  - 종합병원: 1
  - 정신재활시설: 1

List of all Gangnam-gu institutions:
54. 이도희정신과의원 | 의원 | 서울특별시 강남구 강남대로 532 (논현동, 2층 일부)
55. 이백정신건강의학과의원 | 의원 | 서울특별시 강남구 선릉로 641 우암빌딩 201호 (논현동)
56. 이승민정신건강의학과의원 | 의원 | 서울특별시 강남구 남부순환로 2615 303호 (도곡동, 극동스타클래스)
57. 이유정신건강의학과의원 | 의원 | 서울특별시 강남구 선릉로 431 406,407호 (역삼동, 에스케이허브오피스텔)
58. 이인수정신건강의학과의원 | 의원 | 서울특별시 강남구 압구정로73길 8 3층 (청담동)
59. 이정신과의원 | 의원 | 서울특별시 강남구 논현로 607 4층 (논현동)
60. 이택중신경정신과의원 | 의원 | 서울특별시 강남구 도산대로 110 4층 (논현동)
61. 이한정신건강의학과의원 | 의원 | 서울특별시 강남구 선릉로 311 한티빌딩 305호 (역삼동)
62. 장은진정신건강의학과의원 | 의원 | 서울특별시 강남구 테헤란로 313 209,210호 (역삼동, 성지하이츠1)
63. 장홍석정신건강의학과의원 | 의원 | 서울특별시 강남구 선릉로 510 402호 (삼성동)
64. 정선주정신과의원 | 의원 | 서울특별시 강남구 압구정로 224 209호 (신사동, 우미빌딩)
65. 조남현정신건강의학과의원 | 의원 | 서울특별시 강남구 압구정로 228 3층 301호 (신사동, 대웅빌딩)
66. 지앤지병원 | 병원 | 서울특별시 강남구 영동대로 626 2~10층 (삼성동, GNG병원빌딩)
67. 진심정신건강의학과의원 | 의원 | 서울특별시 강남구 테헤란로 141 703호 (역삼동, KR타워)
68. 차의과학대학교 강남차병원 | 종합병원 | 서울특별시 강남구 논현로 566 (역삼동, 역삼동 606-4)
69. 최인광정신건강의학과의원 | 의원 | 서울특별시 강남구 학동로 443 301호 (청담동, 정한빌딩)
70. 탑정신건강의학과의원 | 의원 | 서울특별시 강남구 강남대로 408 YBM강남센터 12층 (역삼동)
71. 태화해뜨는샘 | 정신재활시설 | 서울특별시 강남구 광평로 185 태화기독교사회복지관 3층
72. 토마스정신과의원 | 의원 | 서울특별시 강남구 논현로150길 26 5층 (논현동)
73. 하나정신과의원 | 의원 | 서울특별시 강남구 남부순환로 2941 4층 (대치동)
74. 행복정신건강의학과의원 | 의원 | 서울특별시 강남구 강남대로 240 2층 202호 (도곡동)
75. 현대신경정신과의원 | 의원 | 서울특별시 강남구 압구정로 210 (신사동, 3층)
76. 현정신과의원 | 의원 | 서울특별시 강남구 선릉로 431 505호 (역삼동, 에스케이허브오피스텔)
77. 혜민정신건강의학과의원 | 의원 | 서울특별시 강남구 남부순환로 2747 2층 201호 (도곡동, 심우빌딩)
78. 홍정신건강의학과의원 | 의원 | 서울특별시 강남구 학동로 411 2층 204호 (청담동, 원일빌딩)
